,title,date,article_id,url,main_topic,all_topics,authors,year
0,Bengali text summarization by sentence extraction,2012-01-11 04:56:59+00:00,1201.2240v1,http://arxiv.org/abs/1201.2240v1,cs.IR,cs.IR;cs.CL,Kamal Sarkar,2012
1,Test Model for Text Categorization and Text Summarization,2013-05-10 08:06:15+00:00,1305.2831v1,http://arxiv.org/abs/1305.2831v1,cs.IR,cs.IR,Khushboo Thakkar;Urmila Shrawankar,2013
2,Automatic Keyword Extraction for Text Summarization: A Survey,2017-04-11 11:20:19+00:00,1704.03242v1,http://arxiv.org/abs/1704.03242v1,cs.CL,cs.CL,Santosh Kumar Bharti;Korra Sathya Babu,2017
3,A Survey on Neural Network-Based Summarization Methods,2018-03-19 18:49:16+00:00,1804.04589v1,http://arxiv.org/abs/1804.04589v1,cs.CL,cs.CL,Yue Dong,2018
4,Long Text and Multi-Table Summarization: Dataset and Method,2023-02-08 00:46:55+00:00,2302.03815v1,http://arxiv.org/abs/2302.03815v1,cs.CL,cs.CL;cs.AI;I.2.7; I.7,Shuaiqi Liu;Jiannong Cao;Ruosong Yang;Zhiyuan Wen,2023
5,A Survey on Neural Abstractive Summarization Methods and Factual Consistency of Summarization,2022-04-20 14:56:36+00:00,2204.09519v1,http://arxiv.org/abs/2204.09519v1,cs.CL,cs.CL,Meng Cao,2022
6,Quantifying the informativeness for biomedical literature summarization: An itemset mining method,2016-09-10 16:09:28+00:00,1609.03067v2,http://arxiv.org/abs/1609.03067v2,cs.IR,cs.IR;I.2.7; J.3,Milad Moradi;Nasser Ghadiri,2016
7,Different approaches for identifying important concepts in probabilistic biomedical text summarization,2016-05-10 11:33:33+00:00,1605.02948v3,http://arxiv.org/abs/1605.02948v3,cs.CL,cs.CL;cs.IR;I.2.7; J.3,Milad Moradi;Nasser Ghadiri,2016
8,Automatic Text Document Summarization using Semantic-based Analysis,2018-11-15 19:29:26+00:00,1811.06567v1,http://arxiv.org/abs/1811.06567v1,cs.IR,cs.IR;cs.CL,Chandra Shekhar Yadav,2018
9,Document-Level Abstractive Summarization,2022-12-06 14:39:09+00:00,2212.03013v1,http://arxiv.org/abs/2212.03013v1,cs.CL,cs.CL;cs.IR,Gonçalo Raposo;Afonso Raposo;Ana Sofia Carmo,2022
10,Evaluation of Automatic Text Summarization using Synthetic Facts,2022-04-11 05:10:37+00:00,2204.04869v1,http://arxiv.org/abs/2204.04869v1,cs.CL,cs.CL,Jay Ahn;Foaad Khosmood,2022
11,Automated Text Summarization Base on Lexicales Chain and graph Using of WordNet and Wikipedia Knowledge Base,2012-03-15 22:56:29+00:00,1203.3586v1,http://arxiv.org/abs/1203.3586v1,cs.IR,cs.IR;cs.CL,Mohsen Pourvali;Mohammad Saniee Abadeh,2012
12,CNewSum: A Large-scale Chinese News Summarization Dataset with Human-annotated Adequacy and Deducibility Level,2021-10-21 03:37:46+00:00,2110.10874v1,http://arxiv.org/abs/2110.10874v1,cs.CL,cs.CL,Danqing Wang;Jiaze Chen;Xianze Wu;Hao Zhou;Lei Li,2021
13,Artex is AnotheR TEXt summarizer,2012-10-11 18:21:01+00:00,1210.3312v1,http://arxiv.org/abs/1210.3312v1,cs.IR,cs.IR;cs.AI;cs.CL,Juan-Manuel Torres-Moreno,2012
14,Extracting Summary Knowledge Graphs from Long Documents,2020-09-19 04:37:33+00:00,2009.09162v2,http://arxiv.org/abs/2009.09162v2,cs.CL,cs.CL,Zeqiu Wu;Rik Koncel-Kedziorski;Mari Ostendorf;Hannaneh Hajishirzi,2020
15,Incorporating Domain Knowledge for Extractive Summarization of Legal Case Documents,2021-06-30 08:06:15+00:00,2106.15876v1,http://arxiv.org/abs/2106.15876v1,cs.CL,cs.CL;cs.IR,Paheli Bhattacharya;Soham Poddar;Koustav Rudra;Kripabandhu Ghosh;Saptarshi Ghosh,2021
16,Ontology-based and User-focused Automatic Text Summarization (OATS): Using COVID-19 Risk Factors as an Example,2020-11-18 20:15:01+00:00,2012.02028v1,http://arxiv.org/abs/2012.02028v1,cs.CL,cs.CL,Po-Hsu Allen Chen;Amy Leibrand;Jordan Vasko;Mitch Gauthier,2020
